Year,Market,Company code,Company name,Proposal Status,Dividend in respect of the year (quarter),Dividend Period,Times,Date of the Board of Directors,Date of the Shareholders' Meeting,Cash dividends distributed from retained earnings (NTD/share),Cash distributed from legal reserve (NTD/share),Cash distributed from capital surplus (NTD/share),Total amount of cash distributed to shareholders (NTD),Stock dividends distributed from retained earnings(NTD/share),Stock distributed from legal reserve (NTD/share),Stock distributed from capital surplus (NTD/share),Total amount of stock distributed to shareholders
2015,Listed Company,1312,GPPC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/14,0.80000000,0.0,0.0,725296262,0.0,0.0,0.0,0
2015,Company,1312A,°???‾S,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/14,1.40000000,0.0,0.0,28000000,0.0,0.0,0.0,0
2015,Listed Company,1313,UPC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/14,0.20000000,0.0,0.0,228563915,0.0,0.0,0.0,0
2015,Listed Company,1314,CPDC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/24,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1315,TAH HSIN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/17,1.10000000,0.0,0.0,217800000,0.0,0.0,0.0,0
2015,Listed Company,1316,SUN YAD,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1319,TYG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/16,1.40000000,0.0,0.0,828067895,0.0,0.0,0.0,0
2015,Listed Company,1321,OPC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1323,YONYU,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/06,1.55000000,0.0,0.0,141475559,0.0,0.0,0.0,0
2015,Listed Company,1324,GLOBE TAPE,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,0.40000000,0.0,0.0,30048753,0.0,0.0,0.0,0
2015,Listed Company,1325,UK,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/27,0.70000000,0.0,0.0,70231575,0.0,0.0,0.0,0
2015,Listed Company,1326,FCFC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/07,3.50000000,0.0,0.0,20514152019,0.0,0.0,0.0,0
2015,TPEx Listed Company,1336,TAIHAN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/20,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1337,Asia Plastic,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,0.30000000,0.0,0.0,77876520,0.20000000,0.0,0.0,5191768
2015,Listed Company,1338,Hiroca,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/27,4.50000000,0.0,0.0,377280000,0.0,0.0,0.0,0
2015,Listed Company,1339,Y.C.C.,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/20,2.00000000,0.0,0.0,148277750,0.0,0.0,0.0,0
2015,Listed Company,1340,VICTORY,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/20,1.00000000,0.0,0.0,114893203,0.0,0.0,0.0,0
2015,Listed Company,1402,FENC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/23,1.00000000,0.0,0.0,5352875227,0.0,0.0,0.0,0
2015,Public Company,1408,CST,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1409,SSFC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/31,0.25000000,0.0,0.0,404602323,0.0,0.0,0.0,0
2015,Listed Company,1410,NYDF,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/16,1.30000000,0.0,0.0,93600000,0.0,0.0,0.0,0
2015,Listed Company,1413,H.C.,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1414,TUNG HO,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/08,0.20000000,0.0,0.0,44000000,0.0,0.0,0.0,0
2015,Listed Company,1416,KFIC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/30,1.30000000,0.0,0.0,343226236,0.0,0.0,0.0,0
2015,Listed Company,1417,CARNIVAL,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/14,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1418,TongHwa,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/24,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1419,SHINKO.TEXTILE,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,0.34700000,0.0,0.0,104114324,0.0,0.0,0.0,0
2015,Listed Company,1423,REWARD WOOL,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/23,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1432,TAROKO,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/14,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1434,F.T.C,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/24,1.20000000,0.0,0.0,2021597564,0.0,0.0,0.0,0
2015,Listed Company,1435,C.F.CORP.,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/23,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1436,HUA YU LIEN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/24,0.0,0.0,0.0,0,1.00000000,0.0,0.0,6900000
